"year","traffic"
1925,37733
1927,404210
1928,1321748
1929,516051
1930,129347
1932,390398
1937,30046
1939,114541
1941,258194
1942,44091
1943,44432
1944,19033
1945,15995
1946,53449
1947,24386
1948,1006840
1949,64488
1950,333354
1951,98239
1952,225084
1953,335622
1954,131718
1955,403077
1956,267675
1957,536554
1958,2912899
1959,472183
1960,937154
1961,748117
1962,738034
1963,548581
1964,829689
1965,824565
1966,775406
1967,714541
1968,941465
1969,790307
1970,895039
1971,850000
1972,665705
1973,902755
1974,1072861
1975,954241
1976,906190
1977,622856
1978,1002251
1979,628402
1980,602711
1981,693861
1982,598402
1983,452060
1984,466561
1985,341192
1986,346169
1987,380315
1988,334242
1989,573872
1990,386075
1991,205288
1992,296256
1993,271276
1994,243367
1995,384201
1996,438226
1997,486093
1998,480801
1999,272049
2000,461885
2001,357408
2002,383287
2003,302820
2004,450821
2005,287689
2006,347990
2007,734612
2008,304733
2009,517822
2010,303766
2011,442328
2012,258248
2013,184664
2014,152067
2015,136649
2016,26232
